SOURCE	TARGET	ENZYMES
CE5848	CE5723	2.3.1.16;1.3.3.6;1.3.1.34;1.1.1.35;4.2.1.17;5.3.3.8;3.1.2.3;3.1.2.2;2.3.1.154;6.2.1.-;5.1.99.4
C16659	C16660	1.14.14.1
C16659	C07163	
C08012	C16661	1.14.14.1
C01780	C03091	1.3.1.3
C01780	C05479	1.3.99.6;1.3.1.3
C01780	C05451	1.3.99.6;1.3.1.3
C01780	C00410	
C01780	C05490	1.3.99.6;1.14.15.4
C01780	C05284	1.14.15.4
CE7092	C04741	
C06868	C16602	1.14.14.1
CE4980	CE5708	;1.1.1.141
CE6474	C00909	
CE7115	CE7083	
CE6473	C00909	
C05963	C02198	
C00410	C03091	1.3.1.3
C00410	C05479	1.3.99.6;1.3.1.3
C00410	C05139	;5.3.3.1;1.1.1.145
C00410	C05451	;1.3.99.6;1.3.1.3
C00410	C05284	1.14.15.4
C00410	C05490	1.3.99.6;1.14.15.4;1.14.99.10
CE5947	CE5946	
C02477	CE5017	
C00239	C00294	3.1.3.5
C00239	C00475	3.1.3.5;3.5.4.5
C00239	C03150	3.1.3.5
C00239	C00881	2.7.4.14;2.7.1.74;3.5.4.14;3.5.4.12;3.1.3.5;3.5.4.5
CE7144	C14153	
CE7144	CE7145	1.14.13.30
CE7047	CE7101	
C05446	C01301	1.14.13.15
C05446	C05454	;1.14.13.15
C05480	C05479	1.3.99.6;1.1.1.50;1.3.1.3
C00294	C00475	3.1.3.5
C00294	C03150	2.4.2.1;3.1.3.5
C00294	C00881	3.1.3.5
C03091	C05479	1.3.1.3
C03091	C05451	1.3.1.3
C05479	C05451	
C05479	C05490	1.3.99.6
CE5946	CE5945	
C05451	C05490	1.3.99.6
CE5928	CE5930	
C16661	C16662	1.14.14.1
C00475	C03150	3.1.3.5
C00475	C00881	3.1.3.5;3.5.4.5
C03150	C00881	
C05490	C05284	
