CPD_ID	CPD_NAME	CPD_STATISTIC
C15610	Cholest-5-ene-3beta,26-diol	1000.0
CE5848	7'-carboxy-gama-tocotrienol	1000.0
C00021	S-Adenosyl-L-homocysteine	2.1775608803
CE6248	20-OH-hepoxilin A3	2.1775608803
CE5995	20-COOH-leukotriene E4	1000.0
CE2751	dynorphin A (1-5)	2.1775608803
CE6230	15-hydroperoxyeicosa-8Z,11Z,13E-trienoate	2.1775608803
CE6234	prostaglandin H1	2.1775608803
C16578	Morphine-6-glucuronide	2.1775608803
CE6246	5,12-DiHETE	2.1775608803
CE2211	allopregnanolone	2.1775608803
CE6458	CE6458	1000.0
CE4989	20-OH-10,11-dihydro-leukotriene B4	2.1775608803
CE4988	10,11-dihydro-12-epi-leukotriene B4	2.1775608803
CE4987	10,11-dihydro-leukotriene B4	2.1775608803
CE2056	20-dihydroxyleukotriene B4	2.1775608803
CE5945	10,11-dihydro-20-dihydroxy-LTB4	1000.0
CE2053	20-oxo-leukotriene B4	1000.0
CE0955	CE0955	1000.0
CE4980	Prostaglandin PGE2 glyceryl ester	2.1775608803
C05480	3alpha-Hydroxy-5beta-pregnane-20-one	2.1775608803
CE1358	11beta-hydroxytestosterone	1000.0
CE5349	5-oxo-6E-12-epi-LTB4	2.1775608803
C06315	Lipoxin B4	2.1775608803
C06314	Lipoxin A4	2.1775608803
elaidcrn	Elaidic carnitine	2.1775608803
C01029	C01029	2.1775608803
C05963	C05963	2.1775608803
C05962	C05962	2.1775608803
C16321	9(S)-HPOT	1000.0
C14814	11,14,15-THETA	2.1775608803
C18045	C18045	1000.0
C01189	5alpha-Cholest-7-en-3beta-ol	2.1775608803
C05294	19-Hydroxytestosterone	1000.0
C06125	Sulfatide	2.1775608803
C05290	19-Hydroxyandrost-4-ene-3,17-dione	1000.0
CE6232	prostaglandin G1	1000.0
CE7110	5,6-epoxy,18R-HEPE	1000.0
C03845	5alpha-Cholest-8-en-3beta-ol	2.1775608803
CE7047	CE7047	2.1775608803
CE5708	15-oxo-Prostaglandin E2 glyceryl ester	2.1775608803
C00195	N-Acylsphingosine	2.1775608803
