SOURCE	TARGET	ENZYMES
C15610	C05444	
C15610	C00187	
C15610	C05446	
C15610	C15519	
C15610	C05454	
C05500	C00187	
C05500	C00410	
C05500	C01953	
C05502	C00187	
C05444	C00187	
C05444	C05446	1.14.13.15
C05444	C05454	1.14.13.15
C05446	C01301	1.14.13.15
C05446	C05454	;1.14.13.15
C05446	C00187	
C01780	C03091	1.3.1.3
C01780	C05479	1.3.99.6;1.3.1.3
C01780	C05451	1.3.99.6;1.3.1.3
C01780	C00410	
C01780	C05490	1.3.99.6;1.14.15.4
C01780	C05284	1.14.15.4
C01780	C00762	
CE1272	C05454	
C05480	C05479	1.3.99.6;1.1.1.50;1.3.1.3
C05140	C05139	5.3.3.1;1.1.1.145
C05140	C00410	
C05140	C01953	
C00410	C03091	1.3.1.3
C00410	C01953	5.3.3.1;1.1.1.145;1.14.99.9;1.14.99.10
C00410	C05479	1.3.99.6;1.3.1.3
C00410	C05451	;1.3.99.6;1.3.1.3
C00410	C04042	;1.14.14.1;1.14.99.9;1.14.99.10;1.3.1.3;1.1.1.149;1.3.99.6;5.3.3.1;1.1.1.145;1.14.15.4
C00410	C05284	1.14.15.4
C00410	C05139	;5.3.3.1;1.1.1.145
C00410	C00762	;1.14.15.4;1.3.1.3;5.3.3.1;1.1.1.145;1.14.99.10
C00410	C05490	1.3.99.6;1.14.15.4;1.14.99.10
C00762	C03091	1.3.1.3
C00762	C05479	1.3.1.3
C00762	C05451	;1.3.1.3
C00762	C05490	1.1.1.146;1.14.15.4;1.14.99.10
C00762	C05284	1.14.99.-;1.1.1.146;1.14.15.4
C03091	C05479	1.3.1.3
C03091	C05451	1.3.1.3
C01953	C00187	
C01953	C05139	5.3.3.1;1.1.1.145
C05479	C05451	
C05479	C05490	1.3.99.6
C05451	C05490	1.3.99.6
C05454	C00187	
C05454	CE0232	1.14.-.-;1.14.13.-
C18075	C05284	
C03594	C00187	
C05490	C05284	
C00187	C15519	1.14.99.38
C00187	C13550	1.14.13.98
C00187	C06340	
