Compound_ID	name	evidence_score	MW	all_possibles
	input_mz	match_form	mz_difference
CE7115	20-hydroxy-leukotriene B5	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
	282.2198	M-HCOONa+H[1+]	-0.0016
	332.1976	M-H2O+H[1+]	-0.0006
	304.2011	M-HCOOH+H[1+]	-0.0023
	352.2034	M(S34)+H[1+]	-0.0012
	388.1626	M+K[1+]	-0.0017
	314.1864	M-H4O2+H[1+]	-0.0012
	352.2067	M(Cl37)+H[1+]	0.0007
	304.202	M-HCOOH+H[1+]	-0.0014
	372.1913	M+Na[1+]	0.0005
	368.2166	M+H2O+H[1+]	-0.0028
	304.2013	M-HCOOH+H[1+]	-0.0021
	372.1904	M+Na[1+]	-0.0004
	352.2028	M(Cl37)+H[1+]	-0.0032
	304.2014	M-HCOOH+H[1+]	-0.002
	352.2067	M(S34)+H[1+]	0.0021
	352.2069	M(S34)+H[1+]	0.0023
	322.2114	M-CO+H[1+]	-0.0024
	352.2041	M(Cl37)+H[1+]	-0.0019
	322.2159	M-CO+H[1+]	0.0021
	351.2147	M(C13)+H[1+]	0.0025
	282.22	M-HCOONa+H[1+]	-0.0014
	352.2052	M(Cl37)+H[1+]	-0.0008
	368.2172	M+H2O+H[1+]	-0.0022
	332.1965	M-H2O+H[1+]	-0.0017
	306.2171	M-CO2+H[1+]	-0.0019
	306.2166	M-CO2+H[1+]	-0.0024
	278.1855	M-C3H4O2+H[1+]	-0.0022
	352.2069	M(Cl37)+H[1+]	0.0009
	322.211	M-CO+H[1+]	-0.0028
	322.212	M-CO+H[1+]	-0.0018
	282.2205	M-HCOONa+H[1+]	-0.0009
	352.2026	M(S34)+H[1+]	-0.002
	434.1665	M+HCOOK[1+]	-0.0036
	332.1966	M-H2O+H[1+]	-0.0016
	282.2194	M-HCOONa+H[1+]	-0.002
	332.1962	M-H2O+H[1+]	-0.002
	314.1868	M-H4O2+H[1+]	-0.0008
	372.1919	M+Na[1+]	0.0011
	418.1944	M+HCOONa[1+]	-0.0018
	368.2165	M+H2O+H[1+]	-0.0029
	332.1963	M-H2O+H[1+]	-0.0019
	304.2012	M-HCOOH+H[1+]	-0.0022
	352.2025	M(Cl37)+H[1+]	-0.0035
	306.2163	M-CO2+H[1+]	-0.0027
	352.2033	M(Cl37)+H[1+]	-0.0027
	352.2052	M(S34)+H[1+]	0.0006
	418.2	M+HCOONa[1+]	0.0038
	314.1852	M-H4O2+H[1+]	-0.0024
	278.1866	M-C3H4O2+H[1+]	-0.0011
	352.2028	M(S34)+H[1+]	-0.0018
	352.2017	M(S34)+H[1+]	-0.0029
	352.2026	M(Cl37)+H[1+]	-0.0034
	282.2189	M-HCOONa+H[1+]	-0.0025
	282.2197	M-HCOONa+H[1+]	-0.0017
	352.2041	M(S34)+H[1+]	-0.0005
	368.217	M+H2O+H[1+]	-0.0024
	322.2166	M-CO+H[1+]	0.0028
	306.2169	M-CO2+H[1+]	-0.0021
	304.2009	M-HCOOH+H[1+]	-0.0025
	388.163	M+K[1+]	-0.0013
	352.2034	M(Cl37)+H[1+]	-0.0026
	282.2201	M-HCOONa+H[1+]	-0.0013
	314.1862	M-H4O2+H[1+]	-0.0014
	352.2033	M(S34)+H[1+]	-0.0013
	350.2062	M+H[1+]	-0.0026
	388.1628	M+K[1+]	-0.0015
	350.2065	M+H[1+]	-0.0023
	282.2195	M-HCOONa+H[1+]	-0.0019
	314.1907	M-H4O2+H[1+]	0.0031
	351.2132	M(C13)+H[1+]	0.001
	332.1952	M-H2O+H[1+]	-0.003
	322.2127	M-CO+H[1+]	-0.0011
