Compound_ID	name	input_mz	match_form	mz_difference	in_pathways	evidence_score	MW	all_possibles
CE7115	20-hydroxy-leukotriene B5	282.2198	M-HCOONa+H[1+]	-0.0016	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	332.1976	M-H2O+H[1+]	-0.0006	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	304.2011	M-HCOOH+H[1+]	-0.0023	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2034	M(S34)+H[1+]	-0.0012	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	388.1626	M+K[1+]	-0.0017	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1864	M-H4O2+H[1+]	-0.0012	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2067	M(Cl37)+H[1+]	0.0007	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	304.202	M-HCOOH+H[1+]	-0.0014	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	372.1913	M+Na[1+]	0.0005	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	368.2166	M+H2O+H[1+]	-0.0028	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
