pathway	overlap_size	pathway_size	p-value (raw)	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
Leukotriene metabolism	28	56	4.767333458398613e-07	0.0035921344140821265	20-COOH-leukotriene E4$20-OH-10,11-dihydro-leukotriene B4$10,11-dihydro-12-epi-leukotriene B4$10,11-dihydro-leukotriene B4$20-dihydroxyleukotriene B4$20-Hydroxyleukotriene E4; 20-OH-LTE4; 20-OH-Leukotriene E4$20-oxo-leukotriene B4$12-oxo-20-trihydroxy-leukotriene B4$$5-oxo-6E-12-epi-LTB4$$Leukotriene A4; LTA4; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoic acid; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoate; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyicosa-7,9,11,14-tetraenoate; (5S,6S,7E,9E,11Z,14Z)-5,6-epoxyicosa-7,9,11,14-tetraenoate$6,7-dihydro-5-oxo-12-epi-LTB4$18-carboxy-dinor-LTE4$20-OH-Leukotriene B4; 20-OH-LTB4; 20-Hydroxy-leukotriene B4; (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyeicosa-6,8,10,14-tetraenoate; (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyicosa-6,8,10,14-tetraenoate$13E-tetranor-16-carboxy-LTE4$10,11-dihydro-12-oxo-LTB4$10,11-dihydro-20-dihydroxy-LTB4$10,11-dihydro-20-trihydroxy-leukotriene B4$20-COOH-10,11-dihydro-LTB4$12-oxo-leukotriene B4$10,11-dihydro-12R-hydroxy-leukotriene E4$5,12-DiHETE$20-trihydroxy-leukotriene-B4$12-oxo-20-hydroxy-leukotriene B4$6,7-dihydro-12-epi-LTB4$6,7-dihydro-leukotriene B4$6,7-dihydro-5-oxo-leukotriene B4$5-oxo-6-trans-leukotriene B4$6-trans-leukotriene B4$6E-12-epi-LTB4$omega-carboxy-trinor-leukotriene B4	CE5995;CE4989;CE4988;CE4987;CE2056;C03577;CE2053;CE5140;CE6474;CE5349;CE6473;C00909;CE5343;CE6193;C04853;CE6229;CE5944;CE5945;CE5946;CE5947;CE4990;CE4995;CE6246;CE3554;CE5138;CE5350;CE5352;CE5179;CE5178;CE2445;CE2446;CE6185	432.1806;318.2168,354.2431;356.253;356.253;296.1981,368.2166,368.2172;372.28;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;310.175;318.2168,354.2431;334.2148;318.2168;318.2168;318.2168,354.2431;368.1552;371.2443,371.2448;368.1552;318.2168,354.2431;370.2324,302.2452,302.2446,302.2448,342.238,334.2148;368.2166,342.238,340.2278,368.2172;368.2166,368.2172;334.2148;421.2299;318.2168,354.2431;340.2278;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;356.253;356.253;318.2168,354.2431;334.2148;318.2168,354.2431;318.2168,354.2431;180.0763,338.1689
Prostaglandin formation from dihomo gama-linoleic acid	6	6	6.988519730712455e-05	0.003616539432606758	Alprostadil; Prostaglandin E1; (13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate$15-hydroperoxyeicosa-8Z,11Z,13E-trienoate$prostaglandin H1$15-oxo-PGE1$13,14-dihydro-15-oxo-PGE1$prostaglandin G1	C04741;CE6230;CE6234;CE7092;CE7093;CE6232	356.253,354.2431,356.248;356.253;318.2168,354.2431;370.2324,334.2148;318.2168,354.2431;370.2324,302.2452,302.2446,302.2448,342.238,334.2148
Prostaglandin formation from arachidonate	24	65	0.0012617645430720815	0.0036341935808040793	12(S)-hydroxyarachidonylethanolamide$15(S)-hydroxyarachidonylethanolamide$$15-oxo-Prostaglandin E2 glyceryl ester$Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate; Dinoprostone$$$$$2-Arachidonoylglycerol; 2-Arachidonoyl-sn-glycerol$$Prostaglandin PGE2 glyceryl ester$$$Alprostadil; Prostaglandin E1; (13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate$$$$$$delta12-Prostaglandin J2$Prostaglandin H2; (5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate$(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2$11-dehydrothromboxane B2$9-deoxy-delta12-PGD2$Prostaglandin J2; PGJ2$Prostaglandin A2; PGA2; Medullin$Prostaglandin G2; PGG2$Prostaglandin B2; PGB2$Prostaglandin I2; (5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate; Prostacyclin; PGI2; Epoprostenol$Prostaglandin C2; PGC2$11-epi-Prostaglandin F2alpha; 11-epi-Prostaglandin F2a; 11-epi-PGF2alpha; 11-epi-PGF2a$Prostaglandin F2alpha; (5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate; (+)-Prostaglandin F2a; 7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid; 9a,11a-PGF2; Amoglandin; Cyclosin; Dinoprost; Enzaprost; Enzaprost F; Panacelan; PGF2a; 9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid; Prostaglandin F2a; Prostin F 2 alpha; Protamodin; U 14583$$$$Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	CE5703;CE5704;CE5828;CE5708;C00584;CE5535;CE5534;CE5537;CE5533;C13856;CE0955;CE4980;CE5304;C05963;C04741;CE5926;CE5924;CE5925;CE5928;CE5929;CE4876;C00427;C00696;CE1447;CE6240;C05957;C05953;C05956;C05954;C01312;C05955;C05959;C00639;CE5931;CE5930;C05962;C02198	386.2635;386.2635;318.2168,354.2431;381.2656;371.2443,371.2448;334.2148;296.1981,368.2166,368.2172;334.2148;296.1981,368.2166,368.2172;343.2601,343.2622,343.2613;370.2324,302.2452,302.2446,302.2448,342.238,334.2148;381.2656;334.2148;370.2324,371.2448,371.2443,186.1251;356.253,354.2431,356.248;296.1981,368.2166,368.2172;318.2168,354.2431;334.2148;334.2148;318.2168,354.2431;334.2148;371.2443,371.2448;371.2443,371.2448;296.1981,368.2166,368.2172;318.2168,354.2431;334.2148;334.2148;368.2166,341.2327,368.2172,352.2041,352.2034,370.2324;334.2148;371.2443,371.2448;334.2148;356.253,354.2431,356.248;356.253,354.2431,356.248;318.2168,354.2431;296.1981,368.2166,368.2172;368.2166,341.2327,368.2172,352.2041,352.2034,370.2324;371.2443,371.2448
Putative anti-Inflammatory metabolites formation from EPA	11	22	0.0017616810989029967	0.003688169048959522	5(S),6(S)-epoxy-15(R)-HEPE$20-hydroxy-leukotriene B5$$5,6-epoxy,18R-HEPE$15-epi-lipoxin B5$15-epi-lipoxin A5$18R-HEPE$15(R)-hydroperoxy-EPE$5-hydroperoxy-EPA$11R-HEPE$PGH3$5-HEPE$$leukotriene B5$$15(R)-HEPE$15(S)-hydroperoxy-EPE	CE7109;CE7115;CE7114;CE7110;CE7113;CE7112;CE7090;CE7091;CE6508;CE7089;CE7088;CE7085;CE7084;CE7083;CE7082;CE7081;CE7080	334.1943,334.1943,304.2011;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;334.1943,334.1943,304.2011;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;318.2168;334.2148;334.2148;318.2168;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;318.2168;334.2148;334.2148;318.2168;318.2168;334.2148
Vitamin E metabolism	14	37	0.01031901429453764	0.003968315520839649	7'-carboxy-alpha-tocotrienol$7'-carboxy-gama-tocotrienol$$alpha-Tocotrienol$$7'-carboxy-gama-chromanol$alpha-Tocopherol; Vitamin E$13'-carboxy-gama-tocotrienol$13'-hydroxy-alpha-tocotrienol$13'-carboxy-alpha-tocotrienol$$5'-carboxy-gama-chromanol$$13'-hydroxy-gama-tocopherol	CE5849;CE5848;CE7101;C14153;CE6219;CE5721;C02477;CE7072;CE7144;CE7145;CE5017;CE5723;CE7047;CE5655	318.2168,310.1925;334.1943,334.1943,304.2011;455.3477,415.3552;425.343;455.3477,415.3552;334.2148;453.367;439.2839;221.1738,373.3526;472.3173,408.2983;289.2407,933.6959,289.2408;278.1866;484.3487,415.3552,418.3657,398.3509;455.3477,415.3552
Drug metabolism - cytochrome P450	17	52	0.02403472423694789	0.004340000524721499	2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline; EMDP$L-alpha-Acetyl-N-normethadol; nor-LAAM$L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM$Morphine-3-glucuronide$Citalopram$Levomethadyl acetate; LAAM$2-Hydroxycarbamazepine$2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine; EDDP$Carbamazepine$Morphine-6-glucuronide$3-Hydroxycarbamazepine$N,N-Didesmethyltamoxifen$$alpha-Hydroxytamoxifen$Hydroxytamoxifen; 4-Hydroxytamoxifen$Carbamazepine-10,11-epoxide; Carbamazepine epoxide$Methadone	C16660;C16661;C16662;C16643;C07572;C08012;C16601;C16659;C06868;C16578;C16602;C16548;C16545;C16544;C05011;C07496;C07163	282.1828;296.2351,340.2278,296.2349,341.2327,294.2235,268.204,268.2038;308.198;462.1768;393.1564;354.2431;209.1058;296.1981;209.1058;462.1768;209.1058;412.1911,343.1961;446.1859,352.2034,352.2041,352.2069;446.1859,352.2034,352.2041,352.2069;446.1859,352.2034,352.2041,352.2069;209.1058;156.1151
Carnitine shuttle	10	28	0.042948037585564466	0.005287500737610418	Vaccenyl carnitine$gamma-linolenyl carnitine$Elaidic carnitine$heptadecanoyl carnitine$clupanodonyl carnitine$stearoylcarnitine$docosa-4,7,10,13,16-pentaenoyl carnitine$octadecenoyl carnitine$alpha-linolenyl carnitine$Linoelaidyl carnitine$Linoleyl carnitine	vacccrn;lnlncgcrn;elaidcrn;hpdcacrn;clpndcrn;stcrn;dcsptn1crn;odecrn;lnlncacrn;lneldccrn;lnlccrn	427.3646,427.365;444.3067;427.3646,427.365;472.3173,436.3406;476.3587;427.365,427.3646,429.3811;476.3587;427.3646,427.365;444.3067;423.3351,423.3357,425.343;423.3351,423.3357,425.343
Linoleate metabolism	8	21	0.046921161014735216	0.005706024101181151	$$13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid$$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid$$(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$	CE2006;CE5527;C14762;C14765;CE5526;C14825;C14826;C14827;CE6506;C04717;CE5528	156.1151;278.1997;296.2349,296.2351,280.2163;278.1997;278.1997;296.2349,296.2351,280.2163;296.2349,296.2351,280.2163;312.2271;156.1151;312.2271;312.226,156.1151,312.2271,294.1953
Fatty acid activation	6	22	0.2834839161490026	0.02573655008744935	Tetradecanoic acid; Tetradecanoate; Myristic acid$octadecenoate (n-C18:1)$tetracosahexaenoic acid, n-3$vaccenic acid$(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate$(9E)-Octadecenoic acid; 9-Octadecenoic acid, (E)-; (E)-Oleic acid; D9-trans-Octadecenoic acid; 9-trans-Octadecenoic acid; trans-D9-Octadecenoic acid; trans-9-Octadecenoic acid; trans-Elaidic acid; trans-Oleic acid; Elaidic acid; Acide elaidique; Elaidinsaure	C06424;ocdcea;tethex3;vacc;C03242;C01712	287.1737;282.2555,282.2561,300.2657;357.2779;282.2555,282.2561,300.2657;271.2424;282.2561,282.2555
Arachidonic acid metabolism	16	72	0.3958511901856412	0.02984931711380734	15-epi-lipoxin B4$15-epi-lipoxin A4$5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion$5(S),6(S)-epoxy-15(R)-hydroxyeicosatetraenoate$Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate; Dinoprostone$5-oxo-6-trans-leukotriene B4$5,15-DiHETE$5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate$15-oxo-lipoxin A4$13,14-dihydro- lipoxin A4$13,14-dihydro-15-oxo-lipoxin A4$12,20-DiHETE$Lipoxin B4; LXB4; 5S,14R,15S-Trihydroxy-6E,8Z,10E,12E-eicosatetraenoic acid; (6E,8Z,10E,12E)-(5S,14R,15S)-Trihydroxyicosa-6,8,10,12-tetraenoic acid$Lipoxin A4; LXA4; 5S,6R,15S-Trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid; (7E,9E,11Z,13E)-(5S,6R,15S)-5,6,15-Trihydroxyicosa-7,9,11,13-tetraenoic acid$Leukotriene A4; LTA4; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoic acid; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoate; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyicosa-7,9,11,14-tetraenoate; (5S,6S,7E,9E,11Z,14Z)-5,6-epoxyicosa-7,9,11,14-tetraenoate$Alprostadil; Prostaglandin E1; (13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate$11,12,15-THETA; 11,12,15-Trihydroxyicosatrienoic acid; (5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyicosa-5,8,12-trienoic acid$11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid$(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate$5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoic acid$20-hydroxy-5S-HETE$(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2$20-OH-hepoxilin A3$5,12-DiHETE$5,12,20-TriHETE$(5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoate; (5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoic acid; Trioxilin A3$Prostaglandin H2; (5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate$Prostaglandin I2; (5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate; Prostacyclin; PGI2; Epoprostenol$Prostaglandin F2alpha; (5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate; (+)-Prostaglandin F2a; 7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid; 9a,11a-PGF2; Amoglandin; Cyclosin; Dinoprost; Enzaprost; Enzaprost F; Panacelan; PGF2a; 9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid; Prostaglandin F2a; Prostin F 2 alpha; Protamodin; U 14583$14,15-DiHETE$Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid$11,12-dihydroxy-5(E),7(E),9(E),14(Z)-eicosatetraenoate	CE2569;CE2568;CE2567;CE2566;C00584;CE5178;CE7096;CE7097;CE5661;CE5663;CE5662;CE6251;C06315;C06314;C00909;C04741;C14782;C14814;C04654;CE2084;CE5815;C00696;CE6248;CE6246;CE6247;C04843;C00427;C01312;C00639;CE7172;C02198;CE2449	370.2324,334.2148;370.2324,334.2148;334.2148;334.2148;371.2443,371.2448;334.2148;318.2168,354.2431;334.2148;304.2011,352.2034,368.2166,352.2069,352.2041,368.2172,352.2069,418.2,278.1866,352.2041,352.2034;318.2168,354.2431;370.2324,334.2148;318.2168,354.2431;371.2443,371.2448;371.2443,371.2448;318.2168;356.253,354.2431,356.248;356.253,354.2431,356.248;356.253,354.2431,356.248;371.2443,371.2448;318.2168;318.2168,354.2431;371.2443,371.2448;370.2324,334.2148;318.2168,354.2431;370.2324,334.2148;356.253,354.2431,356.248;371.2443,371.2448;371.2443,371.2448;356.253,354.2431,356.248;318.2168,354.2431;371.2443,371.2448;318.2168,354.2431
