m/z	id	match_form	mz_difference	name	pathway
54.0106	C03557	M-C3H4O2+H[1+]	0.0002	(2-Aminoethyl)phosphonate; 2-Aminoethylphosphonate; Ciliatine	Aminosugars metabolism$Glycerophospholipid metabolism
54.0106	C05985	M[1+]	0.0	2-Propyn-1-al	Propanoate metabolism
54.0107	C03557	M-C3H4O2+H[1+]	0.0003	(2-Aminoethyl)phosphonate; 2-Aminoethylphosphonate; Ciliatine	Aminosugars metabolism$Glycerophospholipid metabolism
54.0107	C05985	M[1+]	0.0001	2-Propyn-1-al	Propanoate metabolism
54.0109	C03557	M-C3H4O2+H[1+]	0.0005	(2-Aminoethyl)phosphonate; 2-Aminoethylphosphonate; Ciliatine	Aminosugars metabolism$Glycerophospholipid metabolism
54.0109	C05985	M[1+]	0.0003	2-Propyn-1-al	Propanoate metabolism
58.0419	C00207	M[1+]	0.0	Acetone; Dimethyl ketone; 2-Propanone	Pyruvate Metabolism$Propanoate metabolism
58.0419	C00479	M[1+]	0.0		Tryptophan metabolism
58.042	C00207	M[1+]	0.0001	Acetone; Dimethyl ketone; 2-Propanone	Pyruvate Metabolism$Propanoate metabolism
58.042	C00479	M[1+]	0.0001		Tryptophan metabolism
58.0421	C00207	M[1+]	0.0002	Acetone; Dimethyl ketone; 2-Propanone	Pyruvate Metabolism$Propanoate metabolism
58.0421	C00479	M[1+]	0.0002		Tryptophan metabolism
58.0422	C00207	M[1+]	0.0003	Acetone; Dimethyl ketone; 2-Propanone	Pyruvate Metabolism$Propanoate metabolism
58.0422	C00479	M[1+]	0.0003		Tryptophan metabolism
58.0423	C00207	M[1+]	0.0004	Acetone; Dimethyl ketone; 2-Propanone	Pyruvate Metabolism$Propanoate metabolism
58.0423	C00479	M[1+]	0.0004		Tryptophan metabolism
58.0424	C00207	M[1+]	0.0005	Acetone; Dimethyl ketone; 2-Propanone	Pyruvate Metabolism$Propanoate metabolism
58.0424	C00479	M[1+]	0.0005		Tryptophan metabolism
60.0216	C00033	M[1+]	0.0005	Acetate; Acetic acid; Ethanoic acid; Glacial acetic acid	Pyruvate Metabolism$Proteoglycan biosynthesis$Alanine and Aspartate Metabolism$Glycine, serine, alanine and threonine metabolism$Aspartate and asparagine metabolism$Phosphatidylinositol phosphate metabolism$TCA cycle$Butanoate metabolism$Glycolysis and Gluconeogenesis$Methionine and cysteine metabolism$Urea cycle/amino group metabolism$Aminosugars metabolism$Glycerophospholipid metabolism$C21-steroid hormone biosynthesis and metabolism
60.0216	C00266	M[1+]	0.0005	Glycolaldehyde; Hydroxyacetaldehyde	Glyoxylate and Dicarboxylate Metabolism
60.0326	C00086	M[1+]	0.0002	Urea; Carbamide	Arginine and Proline Metabolism$Urea cycle/amino group metabolism$Purine metabolism$Aspartate and asparagine metabolism
60.0326	C00583	M-NH3+H[1+]	-0.0006	Propane-1,2-diol; 1,2-Propanediol; Propylene glycol	
60.0326	C02912	M-NH3+H[1+]	-0.0006	(R)-Propane-1,2-diol; (R)-1,2-Propanediol; (R)-Propylene glycol	Pyruvate Metabolism
60.0326	C02917	M-NH3+H[1+]	-0.0006		Pyruvate Metabolism
68.0382	C16362	M(C13)+3H[3+]	-0.0004	3,6,8-Trimethylallantoin	Caffeine metabolism
71.0726	C00628	M-HCOOK+H[1+]	0.0	2,5-Dihydroxybenzoate; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate	
72.021	C00511	M[1+]	-0.0001	Propenoate; Acrylic acid; Acrylate; 2-Propenoic acid; Vinylformic acid	
72.021	C00546	M[1+]	-0.0001	Methylglyoxal; Pyruvaldehyde; Pyruvic aldehyde; 2-Ketopropionaldehyde; 2-Oxopropanal	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
72.021	CE0737	M[1+]	-0.0001	malonic dialdehyde	Prostaglandin formation from arachidonate
72.021	CE5068	M+2H[2+]	0.0004	2-methylglutaconic acid	Valine, leucine and isoleucine degradation
72.0211	C00511	M[1+]	0.0	Propenoate; Acrylic acid; Acrylate; 2-Propenoic acid; Vinylformic acid	
72.0211	C00546	M[1+]	0.0	Methylglyoxal; Pyruvaldehyde; Pyruvic aldehyde; 2-Ketopropionaldehyde; 2-Oxopropanal	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
72.0211	CE0737	M[1+]	-0.0	malonic dialdehyde	Prostaglandin formation from arachidonate
72.0211	CE5068	M+2H[2+]	0.0005	2-methylglutaconic acid	Valine, leucine and isoleucine degradation
72.0212	C00511	M[1+]	0.0001	Propenoate; Acrylic acid; Acrylate; 2-Propenoic acid; Vinylformic acid	
72.0212	C00546	M[1+]	0.0001	Methylglyoxal; Pyruvaldehyde; Pyruvic aldehyde; 2-Ketopropionaldehyde; 2-Oxopropanal	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
72.0212	CE0737	M[1+]	0.0001	malonic dialdehyde	Prostaglandin formation from arachidonate
72.0212	CE5068	M+2H[2+]	0.0006	2-methylglutaconic acid	Valine, leucine and isoleucine degradation
79.9262	C13645	M[1+]	0.0	Hydrobromic acid; HBr	Xenobiotics metabolism
84.0215	C00627	M+3H[3+]	0.0008	Pyridoxine phosphate; Pyridoxine 5-phosphate; Pyridoxine 5'-phosphate	Vitamin B6 (pyridoxine) metabolism$Selenoamino acid metabolism
