m/z	retention time	p-value	statistic
250.1769	6.781986	2.0	1000.0
246.14705	7.250981	2.0	1000.0
465.30768	8.553003	2.0	1000.0
325.37125	12.604982	2.0	1000.0
309.20547	7.954045	2.0	1000.0
206.15201	6.470965	2.0	1000.0
300.15787	10.592951	2.0	1000.0
285.13666	10.275926	2.0	1000.0
162.12585	6.085996	2.0	1000.0
229.24063	9.9269495	2.0	1000.0
414.2046	10.899943	2.0	1000.0
615.1694	10.138007	2.0	1000.0
171.12811	3.8740163	2.0	1000.0
613.7704	0.93399656	2.0	1000.0
300.1578	10.467953	2.0	1000.0
255.16245	7.0629897	2.0	1000.0
248.1988	9.419963	2.0	1000.0
292.0911	0.8330011	2.0	1000.0
289.13138	4.97097	2.0	1000.0
214.11818	4.6550226	2.0	1000.0
246.1471	7.250981	2.0	1000.0
162.08804	4.0639873	2.0	1000.0
175.0998	8.62402	2.0	1000.0
303.29288	11.201035	2.0	1000.0
271.15433	7.4909787	2.0	1000.0
99.06706	0.9179993	2.0	1000.0
148.11012	4.4200077	2.0	1000.0
242.1157	9.561025	2.0	1000.0
346.08377	5.93602	2.0	1000.0
398.2437	12.90493	2.0	1000.0
99.06818	2.7590005	2.0	1000.0
401.3502	12.174952	0.03	2.1775608803004722
246.147	7.250981	2.0	1000.0
744.8649	0.9110041	2.0	1000.0
292.09085	0.8330011	2.0	1000.0
127.10007	4.8999934	2.0	1000.0
187.0633	3.7209778	2.0	1000.0
390.27658	16.023962	2.0	1000.0
289.1299	4.961992	2.0	1000.0
262.12943	5.3799706	2.0	1000.0
273.26688	9.268027	2.0	1000.0
131.0949	0.92000544	2.0	1000.0
287.24615	11.038051	2.0	1000.0
315.2049	5.8249707	2.0	1000.0
404.2577	14.068952	2.0	1000.0
189.11559	9.208007	2.0	1000.0
613.7706	1.1799943	2.0	1000.0
254.15855	7.560043	2.0	1000.0
162.12592	6.0290337	2.0	1000.0
240.0786	10.169959	2.0	1000.0
331.32413	12.272959	2.0	1000.0
258.0849	7.319031	2.0	1000.0
203.11607	0.8380043	2.0	1000.0
154.09831	7.9099646	2.0	1000.0
429.38174	12.762066	2.0	1000.0
162.09377	4.6230226	2.0	1000.0
371.15274	6.3940277	2.0	1000.0
208.05254	10.169959	2.0	1000.0
546.3244	5.3830347	2.0	1000.0
166.07828	9.6269655	2.0	1000.0
148.10963	4.386984	2.0	1000.0
118.07802	7.3180504	2.0	1000.0
227.18872	9.094029	2.0	1000.0
242.1157	9.416015	2.0	1000.0
166.07883	7.096975	2.0	1000.0
143.09656	0.8680034	2.0	1000.0
382.1452	8.689956	2.0	1000.0
427.365	12.379921	0.03	2.1775608803004722
590.35077	5.532976	2.0	1000.0
136.03908	0.83999693	2.0	1000.0
188.10483	6.0209966	2.0	1000.0
190.15707	8.187011	2.0	1000.0
320.1244	6.43504	2.0	1000.0
730.84906	0.876005	2.0	1000.0
286.20523	8.272964	2.0	1000.0
194.08357	4.33399	2.0	1000.0
253.1405	7.437989	2.0	1000.0
447.29657	8.553003	2.0	1000.0
211.11087	4.9860067	2.0	1000.0
502.29807	5.215014	2.0	1000.0
165.07922	2.853017	2.0	1000.0
127.10235	4.8999934	2.0	1000.0
320.28345	12.077027	2.0	1000.0
155.09492	0.81600255	2.0	1000.0
204.13632	8.545952	2.0	1000.0
222.14961	4.7380176	2.0	1000.0
129.15211	4.176018	2.0	1000.0
306.2672	11.498036	2.0	1000.0
375.2521	10.479983	2.0	1000.0
117.07925	0.8640052	2.0	1000.0
165.07005	7.050033	2.0	1000.0
115.0636	0.8039948	2.0	1000.0
171.089	4.3279905	2.0	1000.0
257.2715	11.166993	2.0	1000.0
157.14664	9.170948	2.0	1000.0
744.86456	1.288003	2.0	1000.0
264.1107	4.5040054	2.0	1000.0
310.11044	9.360017	0.03	2.1775608803004722
431.3035	9.777004	2.0	1000.0
342.2141	14.516081	2.0	1000.0
196.08922	11.644034	2.0	1000.0
164.08386	7.3180504	2.0	1000.0
383.16406	6.722967	2.0	1000.0
330.08514	5.2429924	2.0	1000.0
370.21967	4.611	2.0	1000.0
252.18413	8.079045	2.0	1000.0
170.09361	4.4200077	2.0	1000.0
236.08087	4.339999	2.0	1000.0
360.28778	12.649938	2.0	1000.0
413.293	9.775928	2.0	1000.0
613.7703	0.86999685	2.0	1000.0
75.06842	0.8139971	2.0	1000.0
334.2992	11.94397	2.0	1000.0
317.18912	5.672035	2.0	1000.0
322.13986	10.592951	2.0	1000.0
662.4585	14.252955	2.0	1000.0
778.8348	1.2639991	2.0	1000.0
458.272	4.7840104	2.0	1000.0
152.06264	6.966013	2.0	1000.0
